"filename", "language", "PHP", "HTML (Twig)", "YAML", "JSON", "comment", "blank", "total"
"c:\Users\bmarc\OneDrive\Documents\GitHub\projetCertifV2\backend\compose.override.yaml", "YAML", 0, 0, 13, 0, 4, 3, 20
"c:\Users\bmarc\OneDrive\Documents\GitHub\projetCertifV2\backend\compose.yaml", "YAML", 0, 0, 17, 0, 7, 3, 27
"c:\Users\bmarc\OneDrive\Documents\GitHub\projetCertifV2\backend\composer.json", "JSON", 0, 0, 0, 91, 0, 1, 92
"c:\Users\bmarc\OneDrive\Documents\GitHub\projetCertifV2\backend\composer.lock", "JSON", 0, 0, 0, 7123, 0, 1, 7124
"c:\Users\bmarc\OneDrive\Documents\GitHub\projetCertifV2\backend\config\bundles.php", "PHP", 12, 0, 0, 0, 0, 2, 14
"c:\Users\bmarc\OneDrive\Documents\GitHub\projetCertifV2\backend\config\packages\api_platform.yaml", "YAML", 0, 0, 21, 0, 0, 2, 23
"c:\Users\bmarc\OneDrive\Documents\GitHub\projetCertifV2\backend\config\packages\cache.yaml", "YAML", 0, 0, 2, 0, 13, 5, 20
"c:\Users\bmarc\OneDrive\Documents\GitHub\projetCertifV2\backend\config\packages\doctrine.yaml", "YAML", 0, 0, 43, 0, 4, 6, 53
"c:\Users\bmarc\OneDrive\Documents\GitHub\projetCertifV2\backend\config\packages\doctrine_migrations.yaml", "YAML", 0, 0, 4, 0, 2, 1, 7
"c:\Users\bmarc\OneDrive\Documents\GitHub\projetCertifV2\backend\config\packages\framework.yaml", "YAML", 0, 0, 8, 0, 5, 4, 17
"c:\Users\bmarc\OneDrive\Documents\GitHub\projetCertifV2\backend\config\packages\lexik_jwt_authentication.yaml", "YAML", 0, 0, 9, 0, 0, 1, 10
"c:\Users\bmarc\OneDrive\Documents\GitHub\projetCertifV2\backend\config\packages\mailer.yaml", "YAML", 0, 0, 3, 0, 0, 1, 4
"c:\Users\bmarc\OneDrive\Documents\GitHub\projetCertifV2\backend\config\packages\nelmio_cors.yaml", "YAML", 0, 0, 16, 0, 0, 3, 19
"c:\Users\bmarc\OneDrive\Documents\GitHub\projetCertifV2\backend\config\packages\routing.yaml", "YAML", 0, 0, 6, 0, 3, 2, 11
"c:\Users\bmarc\OneDrive\Documents\GitHub\projetCertifV2\backend\config\packages\security.yaml", "YAML", 0, 0, 34, 0, 21, 15, 70
"c:\Users\bmarc\OneDrive\Documents\GitHub\projetCertifV2\backend\config\packages\twig.yaml", "YAML", 0, 0, 5, 0, 0, 2, 7
